id,sentence1,sentence2,label,AI_Prediction,Confidence_Score(%),Result_Text
1,this was a series of nested angular standards so that measurements in azimuth and elevation could be done directly in polar coordinates relative to the ecliptic ,this was a series of nested polar scales so that measurements in azimuth and elevation could be performed directly in angular coordinates relative to the ecliptic ,0,0,82.36807586021398,Khác nhau
2,his father emigrated to missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to america ,his father emigrated to america in 1868 but returned when his wife became ill and before the rest of the family could go to missouri ,0,0,69.77248092910132,Khác nhau
3,in january 2011 the deputy secretary general of fiba asia hagop khajirian inspected the venue together with sbp president manuel v pangilinan ,in january 2011 fiba asia deputy secretary general hagop khajirian along with sbp president manuel v pangilinan inspected the venue ,1,1,64.2673168944708,Đạo văn/Trùng lặp
4,steiner argued that in the right circumstances the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous selfdiscipline ,steiner held that the spiritual world can be researched in the right circumstances through direct experience by persons practicing rigorous forms of ethical and cognitive selfdiscipline ,0,0,63.775921507156674,Khác nhau
5,luciano williames dias born july 25 1970 is a brazilian football coach and former player ,luciano williames dias born 25 july 1970 is a former football coach and brazilian player ,0,1,65.37792136651194,Đạo văn/Trùng lặp
6,during her sophomore junior and senior summers she spent half of it with her alaska team and half playing and living in oregon ,during her second junior and senior summers she spent half of it with her alaska team half playing and living in oregon ,1,0,61.318846745913014,Khác nhau
7,the smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800 ,the smallest number that can be represented as a sum of four positive seventh potences in two different ways is 2056364173794800 ,0,0,69.54857943496717,Khác nhau
8,his father emigrated to missouri in 1868 but returned when his wife became ill and before the rest of the family could go to america ,his father emigrated to missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to america ,1,0,73.2992434256672,Khác nhau
9,the villa pesquera facilities are owned by the municipality of ponce but operated by the fishermen themselves ,the facilities of villa pesquera are operated by the municipality of ponce but are owned by the fishermen ,0,1,60.03475012295185,Đạo văn/Trùng lặp
10,it is situated south of köroğlu mountains and to the north of bolu ,it is situated south of köroğlu mountains and north of the bolu ,1,1,56.177837815563926,Đạo văn/Trùng lặp
11,the río blanco mine is a large copper mine located in the north of peru in loreto region ,the río blanco mine is a large copper mine in northern peru in the region of loreto ,1,1,69.39047581243517,Đạo văn/Trùng lặp
12,he appeared as general tao in the amazon show the man at the high castle and as onoda in amc hell on wheels ,he appeared as general onoda in the amazon show the man in high castle and as tao on amcs hell on wheels ,0,0,77.25081187402802,Khác nhau
13,the spectral levels of light that can be measured by plants for photosynthesis is similar to but not the same as what s used by lumens ,the spectral light levels that can be measured by plants for photosynthesis are similar but not the same as what is used by lumens ,1,1,61.12834854199374,Đạo văn/Trùng lặp
14,the sunset sunset road comes from right and becomes briscoe mountain road ,sunset road comes in from the right and becomes briscoe mountain road ,1,0,54.01919745098467,Khác nhau
15,to get there take the marine drive from the lions gate bridge to the west past lighthouse park horseshoe bay and then further on to the 7100 marine drive block ,to get there take marine drive west from the lions gate bridge past horseshoe bay to lighthouse park and then continue on to 7100 block marine drive ,0,0,69.79471432804655,Khác nhau
16,inverallan is one of the parishes which formed the ecclesiastical later civil parish of cromdale inverallan and advie in morayshire in scotland ,inverallan is one of the parishes that formed the civil later ecclesiastical parish of cromdale inverallan and advie in morayshire scotland ,0,1,65.11788985438601,Đạo văn/Trùng lặp
17,mr thuso nokwanda mbedu was born in pietermaritzburg as thuso mbebu ,thuso nokwanda mbedu was born thuso mbebu in pietermaritzburg ,1,1,66.81816809376546,Đạo văn/Trùng lặp
18,for ideal gases the molar volume is given by the ideal gas equation a good approximation for many usual gases at standard temperature and pressure ,for ideal gases the molar volume is given by the standard gas equation a good approximation for many common gases at ideal temperature and pressure ,0,1,71.22657268616047,Đạo văn/Trùng lặp
19,john barrow island is a member of the queen elizabeth islands and the canadian arctic archipelago in the territory of nunavut ,john barrow island is a member of the canadian arctic archipelago and the queen elizabeth islands in the nunavut area ,0,0,52.17180221251616,Khác nhau
20,it was chosen as the 19th best movie at the 7th yokohama film festival ,it was chosen as the 7th best film at the 19th yokohama film festival ,0,0,73.70570510051174,Khác nhau
